ID,rodata,data,hora,mandante,visitante,mandante_Placar,visitante_Placar,ELO_Rating_mandante,ELO_Rating_visitante,Chutes_mandante,Chutes_visitante,Chutes_no_alvo_mandante,Chutes_no_alvo_visitante,Posse_mandante,Posse_visitante,Passes_mandante,Passes_visitante,Precisão_passes_mandante,Precisão_passes_visitante,Faltas_mandante,Faltas_visitante,Cartão_amarelo_mandante,Cartão_amarelo_visitante,Cartão_vermelho_mandante,Cartão_vermelho_visitante,Impedimentos_mandante,Impedimentos_visitante,Escanteios_mandante,Escanteios_visitante,Vencedor
5018,4,30/05/2015,18:32,Coritiba,Avai,1,2,"1027,83","976,72",11,11,3,5,58%,42%,413,310,80%,80%,17,21,4,4,0,0,3,0,5,3,Avai
5019,4,30/05/2015,21:00,Joinville,Athletico-PR,1,2,"947,02","1040,64",10,19,4,6,54%,46%,464,399,80%,80%,12,13,0,4,0,0,1,4,4,7,Athletico-PR
5020,4,31/05/2015,10:59,Santos,Sport,2,2,"1079,35","1081,34",18,15,5,6,54%,46%,472,415,80%,80%,9,11,1,2,0,0,6,0,8,7,Empate
5022,4,31/05/2015,15:59,Atletico-MG,Vasco,3,0,"1118,91","1024,31",21,9,7,0,53%,47%,457,413,80%,80%,16,12,0,3,0,0,2,3,5,7,Atletico-MG
5021,4,31/05/2015,16:00,Goias,Gremio,1,1,"971,26","1128,2",10,9,2,5,41%,59%,345,495,80%,80%,14,14,1,1,0,0,0,1,2,3,Empate
5024,4,31/05/2015,16:01,Internacional,Sao Paulo,0,0,"1107,7","1112,92",8,14,3,3,54%,46%,516,434,80%,80%,19,17,3,0,0,1,3,3,5,10,Empate
5023,4,31/05/2015,16:03,Corinthians,Palmeiras,0,2,"1193,14","1009,8",9,12,2,7,54%,46%,477,409,80%,80%,21,21,5,5,0,0,4,3,2,6,Palmeiras
5025,4,31/05/2015,18:29,Flamengo,Fluminense,2,3,"1019,04","1011,41",15,7,5,2,67%,33%,475,253,80%,80%,24,23,5,3,1,1,1,0,8,1,Fluminense
5026,4,31/05/2015,18:31,Figueirense,Cruzeiro,2,1,"1001,41","1120,94",9,22,5,8,32%,68%,266,545,80%,80%,17,11,3,5,0,1,2,1,5,4,Figueirense
5027,5,03/06/2015,19:31,Athletico-PR,Figueirense,1,0,"1040,64","1001,41",12,9,4,2,47%,53%,385,442,80%,80%,12,8,1,4,0,0,1,5,6,4,Athletico-PR
5028,5,03/06/2015,19:32,Vasco,Ponte Preta,0,3,"1024,31","1014,55",14,16,6,6,52%,48%,441,417,80%,80%,15,18,1,3,2,0,0,3,6,2,Ponte Preta
5029,5,03/06/2015,19:32,Chapecoense,Joinville,2,0,"1011,92","947,02",10,12,3,3,53%,47%,349,314,80%,80%,16,12,3,5,0,0,1,1,7,10,Chapecoense
5030,5,03/06/2015,21:02,Sao Paulo,Santos,3,2,"1112,92","1079,35",13,8,4,3,63%,37%,531,329,80%,80%,14,15,5,3,0,1,1,0,8,1,Sao Paulo
5033,5,03/06/2015,21:59,Gremio,Corinthians,3,1,"1128,2","1193,14",13,20,6,8,38%,62%,397,627,80%,80%,22,10,2,3,0,0,6,0,3,5,Gremio
5032,5,03/06/2015,22:00,Avai,Atletico-MG,1,4,"976,72","1118,91",7,16,5,8,46%,54%,395,479,80%,80%,12,15,3,3,0,0,3,4,10,7,Atletico-MG
5031,5,03/06/2015,22:01,Cruzeiro,Flamengo,1,0,"1120,94","1019,04",11,8,4,1,52%,48%,410,378,80%,80%,16,17,2,3,0,0,2,1,5,10,Cruzeiro
5034,5,04/06/2015,16:00,Fluminense,Coritiba,2,0,"1011,41","1027,83",12,8,6,4,53%,47%,451,414,80%,80%,13,24,1,4,0,0,1,3,3,4,Fluminense
5035,5,04/06/2015,21:01,Sport,Goias,1,0,"1081,34","971,26",16,9,4,4,67%,33%,597,296,80%,80%,11,13,2,4,0,0,4,1,7,3,Sport
5036,5,04/06/2015,21:02,Palmeiras,Internacional,1,1,"1009,8","1107,7",15,5,7,3,57%,43%,456,354,80%,80%,15,13,1,4,0,0,3,1,9,2,Empate
5038,6,06/06/2015,18:29,Flamengo,Chapecoense,1,0,"1019,04","1011,92",18,6,2,3,64%,36%,437,262,80%,80%,13,12,1,0,0,1,2,1,5,1,Flamengo
5037,6,06/06/2015,18:30,Atletico-MG,Cruzeiro,1,3,"1118,91","1120,94",14,11,5,3,64%,36%,462,268,80%,80%,12,13,0,0,0,0,3,2,7,6,Cruzeiro
5039,6,06/06/2015,18:30,Santos,Ponte Preta,2,2,"1079,35","1014,55",18,19,5,6,52%,48%,451,416,80%,80%,17,15,2,2,0,0,2,3,6,2,Empate
5041,6,06/06/2015,21:58,Joinville,Corinthians,0,1,"947,02","1193,14",14,13,4,4,51%,49%,432,430,80%,80%,8,9,1,1,0,0,1,0,9,5,Corinthians
5040,6,06/06/2015,22:01,Athletico-PR,Vasco,2,0,"1040,64","1024,31",13,14,3,6,45%,55%,380,480,80%,80%,15,7,4,3,0,0,2,2,7,3,Athletico-PR
5042,6,06/06/2015,22:01,Sao Paulo,Gremio,2,0,"1112,92","1128,2",13,9,5,0,60%,40%,631,436,80%,80%,19,14,3,2,0,0,2,1,4,3,Sao Paulo
5043,6,07/06/2015,11:02,Internacional,Coritiba,2,0,"1107,7","1027,83",12,18,5,5,51%,49%,424,401,80%,80%,5,16,3,5,1,0,2,4,3,11,Internacional
5045,6,07/06/2015,19:28,Goias,Avai,0,1,"971,26","976,72",8,11,3,1,56%,44%,496,401,80%,80%,15,17,2,4,0,0,4,2,6,2,Avai
5046,6,07/06/2015,19:30,Fluminense,Sport,0,0,"1011,41","1081,34",15,7,4,1,47%,53%,408,479,80%,80%,12,10,3,2,0,0,3,0,7,5,Empate
5044,6,07/06/2015,19:32,Figueirense,Palmeiras,2,1,"1001,41","1009,8",7,13,4,2,33%,67%,253,506,80%,80%,22,14,3,3,0,0,7,3,2,4,Figueirense
5047,7,10/06/2015,19:30,Atletico-MG,Santos,2,2,"1118,91","1079,35",18,10,6,6,63%,37%,520,320,80%,80%,8,15,1,4,0,0,4,4,12,5,Empate
5050,7,13/06/2015,16:30,Corinthians,Internacional,2,1,"1193,14","1107,7",13,12,4,4,48%,52%,392,427,80%,80%,10,9,0,2,0,0,4,1,4,7,Corinthians
5049,7,13/06/2015,16:32,Chapecoense,Sao Paulo,0,1,"1011,92","1112,92",15,5,4,2,60%,40%,460,322,80%,80%,5,29,2,4,0,0,3,1,7,3,Sao Paulo
5048,7,13/06/2015,16:33,Coritiba,Flamengo,0,1,"1027,83","1019,04",12,8,4,3,57%,43%,478,380,80%,80%,17,14,2,3,0,1,0,2,8,2,Flamengo
5051,7,13/06/2015,20:58,Sport,Joinville,2,1,"1081,34","947,02",10,21,4,8,47%,53%,379,417,80%,80%,10,13,0,4,0,0,7,2,3,6,Sport
5052,7,13/06/2015,21:01,Vasco,Cruzeiro,1,3,"1024,31","1120,94",14,8,5,3,60%,40%,536,362,80%,80%,13,25,2,4,0,0,3,1,6,0,Cruzeiro
5053,7,14/06/2015,10:59,Ponte Preta,Goias,0,0,"1014,55","971,26",16,17,4,6,62%,38%,430,279,80%,80%,24,19,3,3,0,0,3,1,5,6,Empate
5055,7,14/06/2015,15:58,Palmeiras,Fluminense,2,1,"1009,8","1011,41",25,6,11,3,68%,32%,564,283,80%,80%,6,13,0,6,0,2,1,0,7,2,Palmeiras
5054,7,14/06/2015,15:59,Avai,Figueirense,1,1,"976,72","1001,41",8,9,3,1,58%,42%,304,229,80%,80%,14,26,4,3,0,0,0,4,5,2,Empate
5056,7,14/06/2015,16:00,Gremio,Athletico-PR,2,1,"1128,2","1040,64",20,12,5,3,56%,44%,428,344,80%,80%,8,22,1,4,0,0,6,0,13,7,Gremio
5057,8,18/06/2015,21:03,Figueirense,Internacional,0,0,"1001,41","1107,7",14,14,0,0,39%,61%,267,425,80%,80%,16,18,4,2,0,0,2,0,4,4,Empate
5058,8,20/06/2015,16:30,Sport,Vasco,2,1,"1081,34","1024,31",12,9,4,2,46%,54%,425,482,80%,80%,10,12,2,3,0,0,1,0,4,4,Sport
5059,8,20/06/2015,16:30,Flamengo,Atletico-MG,0,2,"1019,04","1118,91",12,8,3,3,54%,46%,504,457,80%,80%,8,14,0,0,0,1,1,1,4,3,Atletico-MG
5060,8,20/06/2015,16:33,Santos,Corinthians,1,0,"1079,35","1193,14",10,10,5,2,41%,59%,351,502,80%,80%,19,17,4,3,1,1,4,1,6,7,Santos
5061,8,20/06/2015,21:01,Gremio,Palmeiras,1,0,"1128,2","1009,8",12,14,3,3,49%,51%,485,476,80%,80%,11,9,4,3,0,0,7,0,1,7,Gremio
5062,8,21/06/2015,11:01,Cruzeiro,Chapecoense,0,1,"1120,94","1011,92",14,6,1,3,62%,38%,526,323,80%,80%,9,16,4,3,0,0,2,1,5,4,Chapecoense
5063,8,21/06/2015,15:59,Joinville,Goias,2,1,"947,02","971,26",12,15,6,3,48%,52%,377,394,80%,80%,13,12,4,4,1,1,0,2,3,11,Joinville
5065,8,21/06/2015,16:00,Sao Paulo,Avai,1,1,"1112,92","976,72",16,13,2,3,58%,42%,414,314,80%,80%,14,13,1,5,0,0,9,1,9,9,Empate
5064,8,21/06/2015,16:01,Athletico-PR,Coritiba,2,2,"1040,64","1027,83",17,15,6,7,51%,49%,381,384,80%,80%,10,20,2,3,0,2,4,2,2,3,Empate
5066,8,24/06/2015,19:30,Fluminense,Ponte Preta,2,0,"1011,41","1014,55",21,11,6,3,48%,52%,452,473,80%,80%,16,18,2,3,0,0,1,0,3,6,Fluminense
5067,9,27/06/2015,16:01,Avai,Gremio,1,2,"976,72","1128,2",12,7,3,3,50%,50%,375,406,80%,80%,14,16,3,3,0,0,1,3,12,4,Gremio
5068,9,27/06/2015,16:01,Chapecoense,Sport,1,1,"1011,92","1081,34",14,14,4,3,64%,36%,433,265,80%,80%,7,16,1,6,0,0,2,1,16,3,Empate
5069,9,27/06/2015,21:00,Corinthians,Figueirense,2,1,"1193,14","1001,41",13,6,5,2,52%,48%,473,452,80%,80%,10,11,0,2,0,0,1,3,7,3,Corinthians
5070,9,28/06/2015,10:59,Atletico-MG,Joinville,1,0,"1118,91","947,02",13,7,5,2,58%,42%,505,376,80%,80%,11,13,2,1,0,0,4,7,10,3,Atletico-MG
5071,9,28/06/2015,15:59,Palmeiras,Sao Paulo,4,0,"1009,8","1112,92",13,9,7,1,40%,60%,344,503,80%,80%,18,14,1,3,0,0,2,3,8,2,Palmeiras
5072,9,28/06/2015,15:59,Goias,Fluminense,1,2,"971,26","1011,41",19,10,6,5,46%,54%,371,443,80%,80%,15,12,2,2,0,1,6,1,13,3,Fluminense
5073,9,28/06/2015,16:02,Ponte Preta,Athletico-PR,2,1,"1014,55","1040,64",14,18,4,7,52%,48%,408,371,80%,80%,16,27,1,2,0,0,2,1,6,5,Ponte Preta
5074,9,28/06/2015,16:03,Coritiba,Cruzeiro,1,0,"1027,83","1120,94",12,11,3,4,49%,51%,362,373,80%,80%,22,15,5,5,0,0,4,3,3,2,Coritiba
5075,9,28/06/2015,18:31,Vasco,Flamengo,1,0,"1024,31","1019,04",6,6,1,1,32%,68%,255,535,80%,80%,18,10,4,0,0,0,1,7,2,10,Vasco
5076,9,28/06/2015,18:31,Internacional,Santos,1,0,"1107,7","1079,35",12,16,2,6,61%,39%,506,324,80%,80%,4,12,3,2,0,1,2,3,8,7,Internacional
5077,10,01/07/2015,19:31,Sport,Internacional,3,0,"1081,34","1107,7",13,12,6,4,40%,60%,322,469,80%,80%,13,8,2,2,0,1,2,3,6,7,Sport
5078,10,01/07/2015,19:31,Vasco,Avai,1,0,"1024,31","976,72",13,13,4,1,48%,52%,375,404,80%,80%,16,11,3,2,1,1,6,1,6,6,Vasco
5079,10,01/07/2015,21:00,Palmeiras,Chapecoense,2,0,"1009,8","1011,92",16,8,7,1,48%,52%,428,472,80%,80%,15,17,0,3,0,0,4,2,2,3,Palmeiras
5080,10,01/07/2015,21:00,Atletico-MG,Coritiba,2,0,"1118,91","1027,83",16,10,4,5,60%,40%,564,394,80%,80%,8,11,3,5,0,0,6,5,3,4,Atletico-MG
5082,10,01/07/2015,22:00,Gremio,Cruzeiro,1,0,"1128,2","1120,94",22,14,10,4,58%,42%,478,353,80%,80%,21,21,5,6,0,0,1,0,13,2,Gremio
5081,10,01/07/2015,22:01,Joinville,Flamengo,0,1,"947,02","1019,04",8,11,2,6,63%,37%,580,337,80%,80%,14,11,3,2,0,0,1,4,3,3,Flamengo
5083,10,01/07/2015,22:01,Athletico-PR,Sao Paulo,2,1,"1040,64","1112,92",11,10,5,4,46%,54%,432,501,80%,80%,17,8,2,0,0,0,1,3,4,2,Athletico-PR
5085,10,02/07/2015,19:29,Figueirense,Goias,3,1,"1001,41","971,26",10,16,6,4,46%,54%,395,443,80%,80%,17,20,1,2,1,0,1,1,1,4,Figueirense
5084,10,02/07/2015,19:33,Corinthians,Ponte Preta,2,0,"1193,14","1014,55",17,11,9,4,46%,54%,468,522,80%,80%,5,12,1,2,0,0,0,2,5,5,Corinthians
5086,10,02/07/2015,20:59,Fluminense,Santos,2,1,"1011,41","1079,35",8,9,2,5,52%,48%,442,424,80%,80%,7,21,2,3,0,0,1,1,1,3,Fluminense
5087,11,04/07/2015,15:01,Coritiba,Joinville,0,0,"1027,83","947,02",12,6,4,1,59%,41%,454,333,80%,80%,22,17,1,2,0,0,4,2,5,4,Empate
5089,11,04/07/2015,21:01,Cruzeiro,Athletico-PR,2,0,"1120,94","1040,64",18,5,8,1,54%,46%,424,370,80%,80%,10,18,0,2,0,1,1,1,6,4,Cruzeiro
5088,11,04/07/2015,21:03,Chapecoense,Vasco,1,0,"1011,92","1024,31",19,7,4,4,68%,32%,508,261,80%,80%,12,12,1,1,0,2,2,0,14,4,Chapecoense
5090,11,05/07/2015,11:02,Avai,Sport,2,2,"976,72","1081,34",13,11,5,4,37%,63%,293,500,80%,80%,16,14,5,2,1,0,4,2,5,9,Empate
