partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
5034,5,Fluminense,12,6,53%,451,80%,13,1,0,1,3
5034,5,Coritiba,8,4,47%,414,80%,24,4,0,3,4
5035,5,Sport,16,4,67%,597,80%,11,2,0,4,7
5035,5,Goias,9,4,33%,296,80%,13,4,0,1,3
5036,5,Internacional,5,3,43%,354,80%,13,4,0,1,2
5036,5,Palmeiras,15,7,57%,456,80%,15,1,0,3,9
5038,6,Flamengo,18,2,64%,437,80%,13,1,0,2,5
5038,6,Chapecoense,6,3,36%,262,80%,12,0,1,1,1
5037,6,Cruzeiro,11,3,36%,268,80%,13,0,0,2,6
5037,6,Atletico-MG,14,5,64%,462,80%,12,0,0,3,7
5039,6,Santos,18,5,52%,451,80%,17,2,0,2,6
5039,6,Ponte Preta,19,6,48%,416,80%,15,2,0,3,2
5041,6,Corinthians,13,4,49%,430,80%,9,1,0,0,5
5041,6,Joinville,14,4,51%,432,80%,8,1,0,1,9
5040,6,Athletico-PR,13,3,45%,380,80%,15,4,0,2,7
5040,6,Vasco,14,6,55%,480,80%,7,3,0,2,3
5042,6,Gremio,9,0,40%,436,80%,14,2,0,1,3
5042,6,Sao Paulo,13,5,60%,631,80%,19,3,0,2,4
5043,6,Coritiba,18,5,49%,401,80%,16,5,0,4,11
5043,6,Internacional,12,5,51%,424,80%,5,3,1,2,3
5045,6,Avai,11,1,44%,401,80%,17,4,0,2,2
5045,6,Goias,8,3,56%,496,80%,15,2,0,4,6
5046,6,Sport,7,1,53%,479,80%,10,2,0,0,5
5046,6,Fluminense,15,4,47%,408,80%,12,3,0,3,7
5044,6,Figueirense,7,4,33%,253,80%,22,3,0,7,2
5044,6,Palmeiras,13,2,67%,506,80%,14,3,0,3,4
5047,7,Atletico-MG,18,6,63%,520,80%,8,1,0,4,12
5047,7,Santos,10,6,37%,320,80%,15,4,0,4,5
5050,7,Internacional,12,4,52%,427,80%,9,2,0,1,7
5050,7,Corinthians,13,4,48%,392,80%,10,0,0,4,4
5049,7,Chapecoense,15,4,60%,460,80%,5,2,0,3,7
5049,7,Sao Paulo,5,2,40%,322,80%,29,4,0,1,3
5048,7,Coritiba,12,4,57%,478,80%,17,2,0,0,8
5048,7,Flamengo,8,3,43%,380,80%,14,3,1,2,2
5051,7,Joinville,21,8,53%,417,80%,13,4,0,2,6
5051,7,Sport,10,4,47%,379,80%,10,0,0,7,3
5052,7,Cruzeiro,8,3,40%,362,80%,25,4,0,1,0
5052,7,Vasco,14,5,60%,536,80%,13,2,0,3,6
5053,7,Ponte Preta,16,4,62%,430,80%,24,3,0,3,5
5053,7,Goias,17,6,38%,279,80%,19,3,0,1,6
5055,7,Fluminense,6,3,32%,283,80%,13,6,2,0,2
5055,7,Palmeiras,25,11,68%,564,80%,6,0,0,1,7
5054,7,Figueirense,9,1,42%,229,80%,26,3,0,4,2
5054,7,Avai,8,3,58%,304,80%,14,4,0,0,5
5056,7,Athletico-PR,12,3,44%,344,80%,22,4,0,0,7
5056,7,Gremio,20,5,56%,428,80%,8,1,0,6,13
5057,8,Figueirense,14,0,39%,267,80%,16,4,0,2,4
5057,8,Internacional,14,0,61%,425,80%,18,2,0,0,4
5058,8,Sport,12,4,46%,425,80%,10,2,0,1,4
5058,8,Vasco,9,2,54%,482,80%,12,3,0,0,4
5059,8,Atletico-MG,8,3,46%,457,80%,14,0,1,1,3
5059,8,Flamengo,12,3,54%,504,80%,8,0,0,1,4
5060,8,Corinthians,10,2,59%,502,80%,17,3,1,1,7
5060,8,Santos,10,5,41%,351,80%,19,4,1,4,6
5061,8,Palmeiras,14,3,51%,476,80%,9,3,0,0,7
5061,8,Gremio,12,3,49%,485,80%,11,4,0,7,1
5062,8,Chapecoense,6,3,38%,323,80%,16,3,0,1,4
5062,8,Cruzeiro,14,1,62%,526,80%,9,4,0,2,5
5063,8,Goias,15,3,52%,394,80%,12,4,1,2,11
5063,8,Joinville,12,6,48%,377,80%,13,4,1,0,3
5065,8,Avai,13,3,42%,314,80%,13,5,0,1,9
5065,8,Sao Paulo,16,2,58%,414,80%,14,1,0,9,9
5064,8,Athletico-PR,17,6,51%,381,80%,10,2,0,4,2
5064,8,Coritiba,15,7,49%,384,80%,20,3,2,2,3
5066,8,Fluminense,21,6,48%,452,80%,16,2,0,1,3
5066,8,Ponte Preta,11,3,52%,473,80%,18,3,0,0,6
5067,9,Avai,12,3,50%,375,80%,14,3,0,1,12
5067,9,Gremio,7,3,50%,406,80%,16,3,0,3,4
5068,9,Chapecoense,14,4,64%,433,80%,7,1,0,2,16
5068,9,Sport,14,3,36%,265,80%,16,6,0,1,3
5069,9,Figueirense,6,2,48%,452,80%,11,2,0,3,3
5069,9,Corinthians,13,5,52%,473,80%,10,0,0,1,7
5070,9,Joinville,7,2,42%,376,80%,13,1,0,7,3
5070,9,Atletico-MG,13,5,58%,505,80%,11,2,0,4,10
5071,9,Palmeiras,13,7,40%,344,80%,18,1,0,2,8
5071,9,Sao Paulo,9,1,60%,503,80%,14,3,0,3,2
5072,9,Fluminense,10,5,54%,443,80%,12,2,1,1,3
5072,9,Goias,19,6,46%,371,80%,15,2,0,6,13
5073,9,Athletico-PR,18,7,48%,371,80%,27,2,0,1,5
5073,9,Ponte Preta,14,4,52%,408,80%,16,1,0,2,6
5074,9,Cruzeiro,11,4,51%,373,80%,15,5,0,3,2
5074,9,Coritiba,12,3,49%,362,80%,22,5,0,4,3
5075,9,Vasco,6,1,32%,255,80%,18,4,0,1,2
5075,9,Flamengo,6,1,68%,535,80%,10,0,0,7,10
5076,9,Santos,16,6,39%,324,80%,12,2,1,3,7
5076,9,Internacional,12,2,61%,506,80%,4,3,0,2,8
5077,10,Sport,13,6,40%,322,80%,13,2,0,2,6
5077,10,Internacional,12,4,60%,469,80%,8,2,1,3,7
5078,10,Avai,13,1,52%,404,80%,11,2,1,1,6
5078,10,Vasco,13,4,48%,375,80%,16,3,1,6,6
5079,10,Chapecoense,8,1,52%,472,80%,17,3,0,2,3
5079,10,Palmeiras,16,7,48%,428,80%,15,0,0,4,2
5080,10,Coritiba,10,5,40%,394,80%,11,5,0,5,4
5080,10,Atletico-MG,16,4,60%,564,80%,8,3,0,6,3
5082,10,Gremio,22,10,58%,478,80%,21,5,0,1,13
5082,10,Cruzeiro,14,4,42%,353,80%,21,6,0,0,2
5081,10,Joinville,8,2,63%,580,80%,14,3,0,1,3
5081,10,Flamengo,11,6,37%,337,80%,11,2,0,4,3
5083,10,Sao Paulo,10,4,54%,501,80%,8,0,0,3,2
5083,10,Athletico-PR,11,5,46%,432,80%,17,2,0,1,4
5085,10,Goias,16,4,54%,443,80%,20,2,0,1,4
5085,10,Figueirense,10,6,46%,395,80%,17,1,1,1,1
5084,10,Corinthians,17,9,46%,468,80%,5,1,0,0,5
5084,10,Ponte Preta,11,4,54%,522,80%,12,2,0,2,5
5086,10,Fluminense,8,2,52%,442,80%,7,2,0,1,1
5086,10,Santos,9,5,48%,424,80%,21,3,0,1,3
5087,11,Joinville,6,1,41%,333,80%,17,2,0,2,4
5087,11,Coritiba,12,4,59%,454,80%,22,1,0,4,5
5089,11,Cruzeiro,18,8,54%,424,80%,10,0,0,1,6
5089,11,Athletico-PR,5,1,46%,370,80%,18,2,1,1,4
5088,11,Vasco,7,4,32%,261,80%,12,1,2,0,4
5088,11,Chapecoense,19,4,68%,508,80%,12,1,0,2,14
5090,11,Sport,11,4,63%,500,80%,14,2,0,2,9
5090,11,Avai,13,5,37%,293,80%,16,5,1,4,5
5091,11,Corinthians,14,7,62%,605,80%,12,2,0,1,7
5091,11,Goias,6,1,38%,382,80%,12,2,0,3,5
5093,11,Santos,7,2,41%,462,80%,13,3,1,0,1
5093,11,Gremio,17,5,59%,654,80%,12,1,0,2,2
5092,11,Sao Paulo,14,6,60%,492,80%,18,1,0,3,7
5092,11,Fluminense,7,0,40%,333,80%,16,2,0,2,4
